Frequency	S11(dB)	S21(dB)
1.095000000000000107e+01	-2.296331370640456171e-01	-1.287824437009713208e+01
1.095355000000000167e+01	-2.299906262405106983e-01	-1.287193400928082987e+01
1.095710000000000051e+01	-2.303480853230708281e-01	-1.286562917077703005e+01
1.096065000000000111e+01	-2.307055171803578109e-01	-1.285932984329853035e+01
1.096420000000000172e+01	-2.310629246605139797e-01	-1.285303601558810982e+01
1.096775000000000055e+01	-2.314203105913037739e-01	-1.284674767641846849e+01
1.097130000000000116e+01	-2.317776777802351973e-01	-1.284046481459210121e+01
1.097485000000000177e+01	-2.321350290146684814e-01	-1.283418741894129589e+01
1.097840000000000060e+01	-2.324923670619435945e-01	-1.282791547832800205e+01
1.098195000000000121e+01	-2.328496946694839087e-01	-1.282164898164377398e+01
1.098550000000000182e+01	-2.332070145649189630e-01	-1.281538791780970676e+01
1.098905000000000065e+01	-2.335643294561900452e-01	-1.280913227577634217e+01
1.099260000000000126e+01	-2.339216420316730660e-01	-1.280288204452359579e+01
1.099615000000000187e+01	-2.342789549602844468e-01	-1.279663721306070201e+01
1.099970000000000070e+01	-2.346362708915968043e-01	-1.279039777042610915e+01
1.100325000000000131e+01	-2.349935924559401201e-01	-1.278416370568741733e+01
1.100680000000000192e+01	-2.353509222645412402e-01	-1.277793500794130388e+01
1.101035000000000075e+01	-2.357082629095924586e-01	-1.277171166631344690e+01
1.101390000000000136e+01	-2.360656169644009816e-01	-1.276549366995843648e+01
1.101745000000000019e+01	-2.364229869834684472e-01	-1.275928100805971077e+01
1.102100000000000080e+01	-2.367803755026166579e-01	-1.275307366982947599e+01
1.102455000000000140e+01	-2.371377850390940234e-01	-1.274687164450862120e+01
1.102810000000000024e+01	-2.374952180916755640e-01	-1.274067492136666324e+01
1.103165000000000084e+01	-2.378526771407771800e-01	-1.273448348970163480e+01
1.103520000000000145e+01	-2.382101646485540736e-01	-1.272829733884004000e+01
1.103875000000000028e+01	-2.385676830590198194e-01	-1.272211645813676029e+01
1.104230000000000089e+01	-2.389252347981347946e-01	-1.271594083697496558e+01
1.104585000000000150e+01	-2.392828222739295796e-01	-1.270977046476607342e+01
1.104940000000000033e+01	-2.396404478765903623e-01	-1.270360533094963174e+01
1.105295000000000094e+01	-2.399981139785773987e-01	-1.269744542499325668e+01
1.105650000000000155e+01	-2.403558229347264596e-01	-1.269129073639256866e+01
1.106005000000000038e+01	-2.407135770823325138e-01	-1.268514125467108400e+01
1.106360000000000099e+01	-2.410713787412829545e-01	-1.267899696938016341e+01
1.106715000000000160e+01	-2.414292302141385349e-01	-1.267285787009892140e+01
1.107070000000000043e+01	-2.417871337862348702e-01	-1.266672394643415345e+01
1.107425000000000104e+01	-2.421450917257900459e-01	-1.266059518802024542e+01
1.107780000000000165e+01	-2.425031062840063978e-01	-1.265447158451910958e+01
1.108135000000000048e+01	-2.428611796951591906e-01	-1.264835312562011183e+01
1.108490000000000109e+01	-2.432193141767034494e-01	-1.264223980103995792e+01
1.108845000000000169e+01	-2.435775119293726587e-01	-1.263613160052266160e+01
1.109200000000000053e+01	-2.439357751372727978e-01	-1.263002851383943970e+01
1.109555000000000113e+01	-2.442941059679878679e-01	-1.262393053078862515e+01
1.109910000000000174e+01	-2.446525065726651016e-01	-1.261783764119561724e+01
1.110265000000000057e+01	-2.450109790861178527e-01	-1.261174983491278034e+01
1.110620000000000118e+01	-2.453695256269243508e-01	-1.260566710181936756e+01
1.110975000000000179e+01	-2.457281482975249010e-01	-1.259958943182144964e+01
1.111330000000000062e+01	-2.460868491842968520e-01	-1.259351681485184393e+01
1.111685000000000123e+01	-2.464456303576806062e-01	-1.258744924087000783e+01
1.112040000000000184e+01	-2.468044938722487314e-01	-1.258138669986199076e+01
1.112395000000000067e+01	-2.471634417668132078e-01	-1.257532918184034010e+01
1.112750000000000128e+01	-2.475224760645082511e-01	-1.256927667684401584e+01
1.113105000000000189e+01	-2.478815987728988646e-01	-1.256322917493833558e+01
1.113460000000000072e+01	-2.482408118840508104e-01	-1.255718666621487678e+01
1.113815000000000133e+01	-2.486001173746349435e-01	-1.255114914079139332e+01
1.114170000000000194e+01	-2.489595172060323214e-01	-1.254511658881176572e+01
1.114525000000000077e+01	-2.493190133243888829e-01	-1.253908900044589458e+01
1.114880000000000138e+01	-2.496786076607461768e-01	-1.253306636588962419e+01
1.115235000000000198e+01	-2.500383021311002874e-01	-1.252704867536468747e+01
1.115590000000000082e+01	-2.503980986365079153e-01	-1.252103591911860114e+01
1.115945000000000142e+01	-2.507579990631717548e-01	-1.251502808742460360e+01
1.116300000000000026e+01	-2.511180052825200404e-01	-1.250902517058157315e+01
1.116655000000000086e+01	-2.514781191513150715e-01	-1.250302715891394634e+01
1.117010000000000147e+01	-2.518383425117175500e-01	-1.249703404277163266e+01
1.117365000000000030e+01	-2.521986771913860004e-01	-1.249104581252996837e+01
1.117720000000000091e+01	-2.525591250035678081e-01	-1.248506245858959929e+01
1.118075000000000152e+01	-2.529196877471690530e-01	-1.247908397137641856e+01
1.118430000000000035e+01	-2.532803672068646428e-01	-1.247311034134150454e+01
1.118785000000000096e+01	-2.536411651531569889e-01	-1.246714155896101417e+01
1.119140000000000157e+01	-2.540020833424790903e-01	-1.246117761473612973e+01
1.119495000000000040e+01	-2.543631235172748029e-01	-1.245521849919296820e+01
1.119850000000000101e+01	-2.547242874060811069e-01	-1.244926420288250668e+01
1.120205000000000162e+01	-2.550855767236112071e-01	-1.244331471638049891e+01
1.120560000000000045e+01	-2.554469931708428510e-01	-1.243737003028742194e+01
1.120915000000000106e+01	-2.558085384350885505e-01	-1.243143013522836426e+01
1.121270000000000167e+01	-2.561702141901009977e-01	-1.242549502185297960e+01
